Temperatura;Presión;Humedad %;Velocidad del Viento;Descripción del Clima;Índice UV;Sensación Térmica;Visibilidad
18.14;1014;77;6.69;muy nuboso;4 of 11;19.4°C;6 mi
19.04;1015;24;4.12;cielo claro;4 of 11;19.4°C;6 mi
19.98;1012;83;6.17;bruma;6 of 11;22.2°C;3 mi
23.97;1012;60;9.26;cielo claro;7 of 11;23.9°C;6 mi
29.87;1010;40;6.61;muy nuboso;8 of 11;30.0°C;6 mi
32.02;1011;70;1.03;nubes dispersas;6 of 11;37.2°C;6 mi
18.13;1012;32;2.57;nubes dispersas;8 of 11;30.0°C;6 mi
20.81;1013;76;5.7;nubes dispersas;6 of 11;20.6°C;6 mi
18.83;1012;34;2.85;nubes dispersas;5 of 11;18.3°C;10 mi
14.5;1016;65;3.9;muy nuboso;3 of 11;18.3°C;8 mi
